 [3960/9127 7:23:32 < 9:39:01, 0.15 it/s, Epoch 0.43/1]
Step	Training Loss
20	0.338700
40	0.337400
60	0.337600
80	0.338100
100	0.339200
120	0.335900
140	0.336700
160	0.337900
180	0.333400
200	0.334700
220	0.332400
240	0.331600
260	0.334200
280	0.332700
300	0.332500
320	0.334000
340	0.334700
360	0.330600
380	0.332300
400	0.327000
420	0.324000
440	0.319200
460	0.309700
480	0.308700
500	0.299200
520	0.291100
540	0.279300
560	0.257900
580	0.238700
600	0.232500
620	0.229500
640	0.226700
660	0.226700
680	0.221800
700	0.220400
720	0.217700
740	0.215800
760	0.214100
780	0.211900
800	0.209500
820	0.207900
840	0.207000
860	0.203300
880	0.202200
900	0.196600
920	0.194000
940	0.196500
960	0.193700
980	0.189900
1000	0.186500
1020	0.185800
1040	0.182500
1060	0.182100
1080	0.180000
1100	0.181100
1120	0.179000
1140	0.176800
1160	0.175200
1180	0.175200
1200	0.172600
1220	0.172700
1240	0.172900
1260	0.171400
1280	0.171400
1300	0.169900
1320	0.171000
1340	0.167500
1360	0.167600
1380	0.166100
1400	0.166600
1420	0.163200
1440	0.162900
1460	0.163000
1480	0.161500
1500	0.161900
1520	0.159000
1540	0.158500
1560	0.160700
1580	0.158500
1600	0.157200
1620	0.156900
1640	0.157000
1660	0.154100
1680	0.154800
1700	0.150900
1720	0.148600
1740	0.150300
1760	0.149800
1780	0.147000
1800	0.146700
1820	0.145400
1840	0.143900
1860	0.141100
1880	0.142500
1900	0.140900
1920	0.140600
1940	0.138800
1960	0.137500
1980	0.139100
2000	0.135900
2020	0.138000
2040	0.134800
2060	0.137700
2080	0.131900
2100	0.133200
2120	0.132300
2140	0.130800
2160	0.131500
2180	0.129900
2200	0.129700
2220	0.128200
2240	0.130400
2260	0.128600
2280	0.128500
2300	0.127900
2320	0.127700
2340	0.126500
2360	0.127000
2380	0.124200
2400	0.122600
2420	0.123100
2440	0.122600
2460	0.124200
2480	0.124400
2500	0.123500
2520	0.123100
2540	0.122600
2560	0.122700
2580	0.119300
2600	0.120300
2620	0.120800
2640	0.121700
2660	0.119200
2680	0.119200
2700	0.122700
2720	0.119600
2740	0.119000
2760	0.119400
2780	0.116700
2800	0.120600
2820	0.117900
2840	0.118800
2860	0.117500
2880	0.117200
2900	0.115900
2920	0.117500
2940	0.119100
2960	0.117700
2980	0.112500
3000	0.116200
3020	0.114000
3040	0.114500
3060	0.116500
3080	0.114300
3100	0.115700
3120	0.117900
3140	0.116300
3160	0.115800
3180	0.115700
3200	0.116700
3220	0.116500
3240	0.113600
3260	0.114000
3280	0.115800
3300	0.113200
3320	0.116500
3340	0.115300
3360	0.116400
3380	0.114100
3400	0.114100
3420	0.113700
3440	0.114200
3460	0.112300
3480	0.114300
3500	0.113800
3520	0.115300
3540	0.114400
3560	0.112800
3580	0.113900
3600	0.113900
3620	0.113000
3640	0.112300
3660	0.114700
3680	0.114000
3700	0.113400
3720	0.112600
3740	0.112800
3760	0.114600
3780	0.112100
3800	0.112800
3820	0.113200
3840	0.112000
3860	0.114800
3880	0.114200
3900	0.112800
3920	0.113800
3940	0.111700
